sku,price,price_tienda,price_tarjeta,retail,date,time
749654,5.4,,,metro,2022-08-21,23:00
568282,3.5,,,metro,2022-08-21,23:00
520834,13.9,,,metro,2022-08-21,23:00
465586,2.4,,,metro,2022-08-21,23:00
3824,5.2,,,metro,2022-08-21,23:00
517411,11.8,,,metro,2022-08-21,23:00
713719,7.59,,,metro,2022-08-21,23:00
517410,11.8,,,metro,2022-08-21,23:00
203646,6.6,,,metro,2022-08-21,23:00
148354,20.2,,,metro,2022-08-21,23:00
722256,5.9,,,metro,2022-08-21,23:00
495411,4.9,,,metro,2022-08-21,23:00
159727,7.5,,,metro,2022-08-21,23:00
772390,9.9,10.8,,metro,2022-08-21,23:00
3818,3.99,,,metro,2022-08-21,23:00
59536002,6.6,,,metro,2022-08-21,23:00
92577,4.9,5.9,,metro,2022-08-21,23:00
969015,8.0,,,metro,2022-08-21,23:00
944473,2.15,,,metro,2022-08-21,23:00
942302,10.8,,,metro,2022-08-21,23:00
567575001,1.0,,,metro,2022-08-21,23:00
495410,4.9,,,metro,2022-08-21,23:00
472088,6.0,,,metro,2022-08-21,23:00
472686,3.49,,,metro,2022-08-21,23:00
418033,6.6,,,metro,2022-08-21,23:00
203645,2.7,,,metro,2022-08-21,23:00
933886,7.0,,,metro,2022-08-21,23:00
942301,2.0,,,metro,2022-08-21,23:00
138820,4.9,6.5,,metro,2022-08-21,23:00
712317,3.5,,,metro,2022-08-21,23:00
472089,5.5,,,metro,2022-08-21,23:00
3817,5.9,,,metro,2022-08-21,23:00
59538001,6.6,,,metro,2022-08-21,23:00
465552,2.4,,,metro,2022-08-21,23:00
435299,2.5,,,metro,2022-08-21,23:00
15775,2.2,,,metro,2022-08-21,23:00
713717,7.59,,,metro,2022-08-21,23:00
206097,11.8,,,metro,2022-08-21,23:00
772062,15.99,17.9,,metro,2022-08-21,23:00
535861,13.5,,,metro,2022-08-21,23:00
535860,13.5,,,metro,2022-08-21,23:00
414938,13.5,,,metro,2022-08-21,23:00
447276,7.5,,,metro,2022-08-21,23:00
45190,11.2,,,metro,2022-08-21,23:00
716269,4.7,,,metro,2022-08-21,23:00
535862,13.5,,,metro,2022-08-21,23:00
534755,4.7,,,metro,2022-08-21,23:00
358463,4.7,,,metro,2022-08-21,23:00
501573,2.7,,,metro,2022-08-21,23:00
45035,11.2,,,metro,2022-08-21,23:00
933885,5.0,,,metro,2022-08-21,23:00
754132,5.9,6.5,,metro,2022-08-21,23:00
784374,1.0,,,metro,2022-08-21,23:00
59539001,2.7,,,metro,2022-08-21,23:00
933883,5.0,,,metro,2022-08-21,23:00
754131,1.95,,,metro,2022-08-21,23:00
700984,1.5,,,metro,2022-08-21,23:00
700983,1.3,,,metro,2022-08-21,23:00
749566,2.2,,,metro,2022-08-21,23:00
105531,2.0,,,metro,2022-08-21,23:00
567576,1.0,,,metro,2022-08-21,23:00
472090,6.0,,,metro,2022-08-21,23:00
113741,5.9,6.5,,metro,2022-08-21,23:00
436342,5.5,5.9,,metro,2022-08-21,23:00
422251,2.8,,,metro,2022-08-21,23:00
62760,5.5,,,metro,2022-08-21,23:00
13189,2.15,,,metro,2022-08-21,23:00
3828,4.5,,,metro,2022-08-21,23:00
3814,2.7,,,metro,2022-08-21,23:00
782572,289.9,,,metro,2022-08-21,23:00
557083,26.99,,,metro,2022-08-21,23:00
889681,18.9,,,metro,2022-08-21,23:00
889684,23.5,,,metro,2022-08-21,23:00
889680,18.9,,,metro,2022-08-21,23:00
889685,25.9,,,metro,2022-08-21,23:00
759485,9.74,12.99,,metro,2022-08-21,23:00
904720,17.9,,,metro,2022-08-21,23:00
923936,38.1,,,metro,2022-08-21,23:00
900201,38.7,,,metro,2022-08-21,23:00
904721,14.5,15.5,,metro,2022-08-21,23:00
75048,31.99,,,metro,2022-08-21,23:00
923937,38.1,,,metro,2022-08-21,23:00
475669,52.99,56.99,,metro,2022-08-21,23:00
765268,34.9,,,metro,2022-08-21,23:00
703099,32.9,46.9,,metro,2022-08-21,23:00
710502,1.5,,,metro,2022-08-21,23:00
317712,20.2,,,metro,2022-08-21,23:00
791326,17.9,,,metro,2022-08-21,23:00
722253,28.9,29.7,,metro,2022-08-21,23:00
709559,25.99,26.0,,metro,2022-08-21,23:00
888446,20.5,,,metro,2022-08-21,23:00
792355,19.5,,,metro,2022-08-21,23:00
107974,6.59,7.99,,metro,2022-08-21,23:00
158740,3.19,3.99,,metro,2022-08-21,23:00
887148,3.6,4.5,,metro,2022-08-21,23:00
20795,,,,metro,2022-08-21,23:00
961578,7.7,,,metro,2022-08-21,23:00
887155,3.6,4.5,,metro,2022-08-21,23:00
17452,5.2,,,metro,2022-08-21,23:00
887160,,,,metro,2022-08-21,23:00
931921,26.7,33.6,,metro,2022-08-21,23:00
118,2.29,3.79,,metro,2022-08-21,23:00
161358,3.35,4.19,,metro,2022-08-21,23:00
37515,5.7,,,metro,2022-08-21,23:00
887157,,,,metro,2022-08-21,23:00
902074,7.04,8.8,,metro,2022-08-21,23:00
887159,10.0,12.5,,metro,2022-08-21,23:00
448258,6.3,7.0,,metro,2022-08-21,23:00
887163,5.04,6.3,,metro,2022-08-21,23:00
731754,7.04,8.8,,metro,2022-08-21,23:00
574742,5.2,6.5,,metro,2022-08-21,23:00
887158,7.04,8.8,,metro,2022-08-21,23:00
11775,2.79,3.49,,metro,2022-08-21,23:00
452755,5.3,,,metro,2022-08-21,23:00
887153,4.56,5.7,,metro,2022-08-21,23:00
731755,4.56,5.7,,metro,2022-08-21,23:00
574743,5.76,7.2,,metro,2022-08-21,23:00
731752,11.6,14.5,,metro,2022-08-21,23:00
705282,3.3,,,metro,2022-08-21,23:00
887053,15.33,21.9,,metro,2022-08-21,23:00
32977,4.29,,,metro,2022-08-21,23:00
934395,110.0,,,metro,2022-08-21,23:00
934394,110.0,,,metro,2022-08-21,23:00
934864,7.8,8.5,,metro,2022-08-21,23:00
934863,7.8,8.5,,metro,2022-08-21,23:00
934865,8.5,,,metro,2022-08-21,23:00
198452,29.9,43.9,,metro,2022-08-21,23:00
122445,3.99,,,metro,2022-08-21,23:00
452745,3.7,,,metro,2022-08-21,23:00
30039,4.1,,,metro,2022-08-21,23:00
