description,sku,retail,uri,price_type
Gaseosa Sabor ReguLar Sin Azúcar 500 ml INCA KOLA   BOTELLA 500 ML,41011026,tottus,https://www.tottus.com.pe/inca-kola-gaseosa-sin-azucar-41011026/p/,tienda
Ginger Ale 1.5 L SCHWEPPES   BOTELLA 1.5 LT,40678085,tottus,https://www.tottus.com.pe/schweppes-gaseosa-ginger-ale-40678085/p/,tienda
Ginger Ale Citrus 1.5 L SCHWEPPES   BOTELLA 1.5 LT,40784897,tottus,https://www.tottus.com.pe/schweppes-gaseosa-citrica-40784897/p/,tienda
Six Pack Gaseosa ReguLar 500 ml PEPSI   PACK 6 UN,42198066,tottus,https://www.tottus.com.pe/pepsi-sixpack-pepsi-500ml-42198066/p/,tienda
Gaseosa Sabor Cereza Lata 355 ml COCA COLA   LATA 355 ML,40707429,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-sabor-a-cereza-40707429/p/,tienda
Gaseosa Sabor Original Lata 355 ml COCA COLA   LATA 355 ML,40707464,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-40707464/p/,tienda
Six Pack Gaseosa ReguLar 500 ml COCA COLA   PACK 6 UN,40606157,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-500-ml-40606157/p/,tienda
Six Pack Gaseosa Naranja 500 ml FANTA   SIX PACK,42508149,tottus,https://www.tottus.com.pe/fanta-bebida-gasesosa-fanta-naranja-bot-500ml-x-6und-42508149/p/,tienda
7 Up 3 L SEVEN UP   BOTELLA 3 LT,20056328,tottus,https://www.tottus.com.pe/seven-up-gaseosa-seven-up-x-3-litros-20056328/p/,tienda
Inca KoLa 3 L INCA KOLA   BOTELLA 3 LT,10174382,tottus,https://www.tottus.com.pe/inca-kola-inca-kola-30-l-pet-10174382/p/,tienda
Six Pack Gaseosa Sin Azúcar 500 ml COCA COLA   PACK 6 UN,41223743,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-sin-azucar-500-ml-41223743/p/,tienda
Two Pack Inca KoLa Zero Sin Azúcar 1.5 L INCA KOLA   PACK 2 UN,41057710,tottus,https://www.tottus.com.pe/inca-kola-two-pack-inca-kola-zero-x-15lt-41057710/p/,tienda
Two Pack Inca KoLa 3 L INCA KOLA   PACK 2 UN,20067694,tottus,https://www.tottus.com.pe/inca-kola-duo-pack-inka-co-la-x-3-litros-20067694/p/,tienda
Gaseosa Sabor Piña 500 ml CONCORDIA   BOTELLA 500 ML,10166534,tottus,https://www.tottus.com.pe/concordia-gaseosa-de-pina-10166534/p/,tienda
Gaseosa Sabor ReguLar 1 L COCA COLA   BOTELLA 1 LT,41253855,tottus,https://www.tottus.com.pe/coca-cola-gaseosa-regular-41253855/p/,tienda
Gaseosa Saborizada 3 L TOTTUS   BOTELLA 3 LT,41971594,tottus,https://www.tottus.com.pe/tottus-gaseosa-cola-negra-tottus-x-3l-41971594/p/,tienda
Gaseosa Saborizada 1.5 L TOTTUS   BOTELLA 1.5 LT,41971595,tottus,https://www.tottus.com.pe/tottus-gaseosa-cola-negra-tottus-x-15l-41971595/p/,tienda
Gaseosa Saborizada 1.5 L TOTTUS   BOTELLA 1.5 LT,41971592,tottus,https://www.tottus.com.pe/tottus-gaseosa-cola-amarilla-tottus-x-15l-41971592/p/,tienda
